Fir	Las	Team	Pos	Height	Pts	Reb	Blk	Ast	Stl
Tyler	Dorsey	Grizzlies	SG	6'5"	6.2	2.4	0	1.2	.3
Justin	Holiday	Grizzlies	SF	6'6"	10.5	3.9	.4	1.8	1.5
Jaren	Jackson Jr.	Grizzlies	PF	6'11"	13.8	4.7	1.4	1.1	.9
CJ	Miles	Grizzlies	SF	6'6"	6.4	1.8	.3	.7	.5
Joakim	Noah	Grizzlies	C	6'11"	7.1	5.7	.7	2.1	.5
Chandler	Parsons	Grizzlies	SF	6'10"	7.5	2.8	.2	1.7	.8
Ivan	Rabb	Grizzlies	PF	6'10"	5.8	4.2	.3	1.1	.3
Jonas	Valanciunas	Grizzlies	C	7'0"	15.6	8.6	1.1	1.4	.4
Julian	Washburn	Grizzlies	SF	6'8"	2.2	2.3	.1	.8	.7
Yuta	Watanbe	Grizzlies	SG	6'9"	2.6	2.1	.1	.5	.3
Deion	Wright	Grizzlies	PG	6'5"	8.7	3.5	.4	3.3	1.2
Tyler	Zeller	Grizzlies	C	7'0"	7.7	4	.5	.7	.2
Dairis	Bertans	Pelicans	SG	6'4"	2.8	.8	0	.8	.1
Trevon	Bluiett	Pelicans	SG	6'6"	0	0	0	0	0
Ian	Clark	Pelicans	SG	6'3"	6.7	1.5	.1	1.6	.4
Anthony	Davis	Pelicans	PF	6'10"	25.9	12	2.4	3.9	1.6
Cheick	Diallo	Pelicans	PF	6'9"	6	5.2	.5	.5	.5
Solomon	Hill	Pelicans	SF	6'7"	4.3	3	.2	1.3	.5
Jrue	Holiday	Pelicans	PG	6'4"	21.2	5	.8	7.7	1.6
Frank	Jackson	Pelicans	PG	6'3"	8.1	2.2	0	1.1	.4
Stanley	Johnson	Pelicans	SF	6'7"	6.9	3.3	.2	1.3	.9
Darius	Miller	Pelicans	SF	6'8"	8.2	1.9	.3	2.1	.6
E'Twaun	Moore	Pelicans	SG	6'4"	11.9	2.4	.2	1.9	.8
Jahlil	Okafor	Pelicans	C	6'11"	8.2	4.7	.7	.7	.3
Elfrid	Payton	Pelicans	PG	6'4"	10.6	5.2	.4	7.6	1
Julius	Randle	Pelicans	C	6'9"	21.4	8.7	.6	3.1	.7
Kenrich	Williams	Pelicans	SG	6'7"	6.1	4.8	.4	1.8	1
Christian	Wood	Pelicans	PF	6'10"	8.2	4	.5	.4	.3
LaMarcus	Aldridge	Spurs	C	6'11"	21.3	9.2	1.3	2.4	.5
Marco	Belinelli	Spurs	SG	6'5"	10.5	2.5	.1	1.7	.4
Davis	Bertans	Spurs	SF	6'10"	8	3.5	.4	1.3	.5
Dante	Cunningham	Spurs	SF	6'8"	3	2.9	.2	.8	.4
DeMar	DeRozan	Spurs	SG	6'7"	21.2	6	.5	6.2	1.1
Bryn	Forbes	Spurs	SG	6'3"	11.8	2.9	0	2.1	.5
Rudy	Gay	Spurs	SF	6'8"	13.7	6.8	.5	2.6	.8
Chimezie	Metu	Spurs	PF	6'10"	1.8	1.2	.1	.4	.2
Patty	Mills	Spurs	PG	6'0"	9.9	2.2	.1	3	.6
Donata	Motiejunas	Spurs	PF	7'0"	2	1	.3	.3	0
Dejounte	Murray	Spurs	PG	6'5"	8.1	5.7	.4	2.9	1.2
Jakob	Poeltl	Spurs	C	7'0"	8.1	5.7	.4	2.9	1.2
Quincy	Pondexter	Spurs	SF	6'7"	1.8	.9	0	.5	.2
Lonnie	Walker	Spurs	SG	6'5"	2.6	1	.2	.5	.4
Derrick	White	Spurs	PG	6'4"	9.9	3.7	.7	3.9	1
Will	Barton	Nuggets	SG	6'6"	11.5	4.6	.5	2.9	.4
Malik	Beasley	Nuggets	SG	6'5"	11.3	2.5	.1	1.2	.7
Torrey	Craig	Nuggets	SF	6'7"	5.7	3.5	.6	1	.5
Gary	Harris	Nuggets	SG	6'4"	12.9	2.8	.3	2.2	1
Juan	Hernangomez	Nuggets	PF	6'9"	5.8	3.8	.3	.8	.4
Nikola	Jokic	Nuggets	C	7'0"	20.1	10.8	.7	7.3	1.4
Tyler	Lydon	Nuggets	PF	6'10"	.9	.7	0	.2	.1
Trey	Lyles	Nuggets	PF	6'10"	8.5	3.8	.4	1.4	.5
Paul	Millsap	Nuggets	PF	6'8"	12.6	7.2	.8	2	1.2
Monte	Morris	Nuggets	PG	6'3"	10.4	2.4	0	3.6	.9
Jamal	Murray	Nuggets	PG	6'4"	18.2	4.2	.4	4.8	.9
Mason	Plumlee	Nuggets	PF	6'11"	7.8	6.4	.9	3	.8
Michael	Porter Jr.	Nuggets	PF	6'10"	0	0	0	0	0
Isaiah	Thomas	Nuggets	PG	5'9"	8.1	1.1	.1	1.9	.4
Jarred	Vanderbilt	Nuggets	PF	6'9"	1.4	1.4	.1	.2	.4
Thomas	Welsh	Nuggets	C	7'0"	1.6	.4	0	.5	0
Keita	Bates-Diop	Timberwolves	SF	6'9"	5	2.8	.5	.6	.6
